projectName,kind,testCase,filePath,CountLineCode,Cyclomatic,CyclomaticModified,CyclomaticStrict,projectName2,filePath2,testCase2,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
greenmail,Public Method,testUsersAccessible,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailConfigurationTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailConfigurationTest.java,testUsersAccessible,42,22,187.29612798276648,4.058602841088201
greenmail,Public Method,testUsersAccessible,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailRuleConfigurationTest.java,4,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailRuleConfigurationTest.java,testUsersAccessible,13,11,44.97261104228487,3.3927474104487847
greenmail,Public Method,testBuildForListOfUsers,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,11,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForListOfUsers,106,39,560.2526351993984,4.384735252999317
greenmail,Public Method,testBuildForListOfUsersWithEmailAsLogin,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForListOfUsersWithEmailAsLogin,115,40,612.0217309120467,4.419487809779599
greenmail,Public Method,testBuildForSingleUser,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForSingleUser,66,32,330.0,4.352462348367443
greenmail,Public Method,testBuildWithAuthenticationDisabledSetting,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,7,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildWithAuthenticationDisabledSetting,45,24,206.32331253245206,4.138656363227874
greenmail,Public Method,testExistingUserNotRecreated,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,8,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,testExistingUserNotRecreated,51,26,239.7224256251957,4.215201610373445
greenmail,Public Method,testNoAuthIMAP,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,7,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,testNoAuthIMAP,37,23,167.37179237410948,4.225497366802823
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleFindUserByAuthLoginTest.java,26,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleFindUserByAuthLoginTest.java,testSend,211,81,1337.708350608656,5.300675236032174
greenmail,Public Method,testSendAndReceive,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleJavaMailTest.java,30,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleJavaMailTest.java,testSendAndReceive,246,63,1470.4108611809795,4.748855891087073
greenmail,Public Method,testPreloadMailFromFs,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExamplePreloadMailFromFsTest.java,27,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExamplePreloadMailFromFsTest.java,testPreloadMailFromFs,257,78,1615.3483702475978,5.046092012662267
greenmail,Public Method,testRemoveAllMessagesInImapMailbox,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExamplePurgeAllEmailsTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExamplePurgeAllEmailsTest.java,testRemoveAllMessagesInImapMailbox,75,38,393.5945635082689,4.643489305758478
greenmail,Public Method,testReceive,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveNoRuleTest.java,15,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveNoRuleTest.java,testReceive,86,39,454.5445908221534,4.682630998707415
greenmail,Public Method,testReceive,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveTest.java,8,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveTest.java,testReceive,45,28,216.33097149259217,4.389416641342192
greenmail,Public Method,testSomething,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleRuleTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleRuleTest.java,testSomething,75,33,378.329558951884,4.38266556509751
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleAdvTest.java,23,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleAdvTest.java,testSend,193,54,1110.6932879175495,4.650235885543441
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleSimpleTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleSimpleTest.java,testSend,60,34,305.2477704750204,4.552969039277233
greenmail,Public Method,sendAndFetchMailMessageWithInlineAttachment,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendReceiveMessageWithInlineAttachmentTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendReceiveMessageWithInlineAttachmentTest.java,sendAndFetchMailMessageWithInlineAttachment,25,20,108.04820237218406,4.133660689688185
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendTest.java,testSend,35,25,162.53496664211536,4.3432894453927675
greenmail,Public Method,testSendWithAvailablePortDetection,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendTest.java,18,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleSendTest.java,testSendWithAvailablePortDetection,100,41,535.7552004618084,4.460073184534045
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleUndeliverableTest.java,27,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleUndeliverableTest.java,testSend,195,67,1182.8873921392656,5.009109804717917
greenmail,Public Method,testSearch,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,107,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,testSearch,1090,124,7580.073978321695,4.90828730908926
greenmail,Public Method,testSearchIssue319,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,29,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,testSearchIssue319,213,72,1314.1940253072125,5.245746503399425
greenmail,Public Method,testUnsupportedSearchWarnsButDoesNotThrowException,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,8,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapSearchTest.java,testUnsupportedSearchWarnsButDoesNotThrowException,24,18,100.07820003461549,3.9701755214643457
greenmail,Public Method,testAppend,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,33,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testAppend,241,68,1467.0785447413318,4.981271168774896
greenmail,Public Method,testExpunge,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,34,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testExpunge,307,75,1912.2473379822352,4.838582668731246
greenmail,Public Method,testFolderMoveMessages,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,30,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testFolderMoveMessages,175,54,1007.1053128786072,4.698286180090369
greenmail,Public Method,testFolderMoveMessagesBasedOnUid,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,31,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testFolderMoveMessagesBasedOnUid,198,65,1192.4288269796339,5.01480457128009
greenmail,Public Method,testFolderMoveUIDMessages,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,35,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testFolderMoveUIDMessages,212,68,1290.5421223450721,4.989182407848008
greenmail,Public Method,testFolderRequiringEscaping,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,21,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testFolderRequiringEscaping,159,53,910.7393522755488,4.625575761687716
greenmail,Public Method,testIdle,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,35,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testIdle,187,70,1146.175924168709,5.19632439662326
greenmail,Public Method,testImapsReceive,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,15,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testImapsReceive,118,42,636.2934558878937,4.665935774936874
greenmail,Public Method,testNestedFolders,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,18,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testNestedFolders,140,40,745.0699332842307,4.468830395385201
greenmail,Public Method,testQuota,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,47,1,1,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testQuota,412,89,2668.002173558156,4.992597191962965
greenmail,Public Method,testQuotaCapability,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,13,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testQuotaCapability,80,40,425.754247590989,4.684508677630893
greenmail,Public Method,testQuotaInvalidResourceLimit,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,15,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testQuotaInvalidResourceLimit,83,38,435.5779836158176,4.651022336761057
greenmail,Public Method,testRenameFolder,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,35,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testRenameFolder,318,51,1803.8312587469356,4.290673038140819
greenmail,Public Method,testRenameINBOXFolder,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,27,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testRenameINBOXFolder,194,50,1094.9081008162966,4.445975371820594
greenmail,Public Method,testRetrieveMultipart,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,27,2,2,2,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testRetrieveMultipart,226,70,1385.2179618295627,5.138118332283708
greenmail,Public Method,testRetrieveSimple,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,23,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testRetrieveSimple,182,60,1075.0540884007505,4.942674173496578
greenmail,Public Method,testRetrieveSimpleWithNonDefaultPassword,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,20,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testRetrieveSimpleWithNonDefaultPassword,156,53,893.5555909118591,4.8451415914580425
greenmail,Public Method,testSetGetFlags,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,41,1,1,3,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testSetGetFlags,308,67,1868.355470660994,4.947568137032556
greenmail,Public Method,testUIDExpunge,greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,39,6,6,6,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/imap/ImapServerTest.java,testUIDExpunge,305,81,1933.6542508798107,5.248128706222597
