project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowMapAPIGeneratorTest.java,test_withoutPackageGrouping,6,1,0,20,18,83.39850002884624,4.1219280948873624
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPackageErgonomicsAPIGeneratorTest.java,testDefaultPackage,7,1,0,20,18,83.39850002884624,4.1219280948873624
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPrimaryKeyAPIGeneratorTest.java,testWithPostfix,1,1,0,37,25,171.8226790216648,4.465945933079573
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowPrimitiveTypesAPIGeneratorTest.java,test,1,1,0,40,26,188.0175887256437,4.462814895472354
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/ScalarFieldCodeGenTest.java,test,1,1,0,43,27,204.46016259302917,4.452443755145651
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,testGenerateWithPostfixAndPrimitiveTypes,2,1,0,39,26,183.31714900750262,4.351905502027204
hollow,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,testGenerateWithPostfixAndAggressiveSubstitutions,2,1,0,43,27,204.46016259302917,4.348019918036975
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,publishAndLoadASnapshot,5,1,0,68,32,340.0,4.409328518626005
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,producerUsesCustomVersionMinter,9,1,0,91,35,466.7647545419919,4.620732999168829
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,producerUsesCustomSnapshotPublisherExecutor,9,1,0,119,35,610.384679016451,4.382418460361399
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,producerValidatesWithError,9,1,0,256,65,1541.7261601352843,4.89099120418998
hollow,hollow/src/test/java/com/netflix/hollow/api/consumer/HollowProducerConsumerTests.java,producerCanContinueAfterValidationFailureNew,9,1,0,364,73,2253.0961394323263,4.901285284511138
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/CustomProducerBuilderTest.java,defaultBehavior,1,1,0,25,19,106.19818783608963,4.083856189774724
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,testFireValidationStart,6,1,0,79,31,391.3815085205632,4.188722321878802
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,testFireValidationStartDontStopWhenOneFails,6,1,0,95,33,479.2174413390531,4.198908789716117
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireIntegrityCheckStartDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.203651071172255
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireAnnouncementStartDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.203651071172255
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,firePublishStartDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.192254364875277
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,firePopulateStartDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.192254364875277
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireCycleStartDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.192254364875277
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireNewDeltaChainDontStopWhenOneFails,6,1,0,75,30,368.0167946706389,4.192254364875276
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireProducerRestoreStartDontStopWhenOneFails,6,1,0,175,49,982.5742227201615,4.680651474767098
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,fireProducerInitDontStopWhenOneFails,6,1,0,80,34,406.9970273000272,4.3422983593583035
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/HollowProducerValidationListenerTest.java,testValidationListenerOnFailure,5,2,0,23,19,97.70233280920246,4.088779347361361
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/HollowProducerValidationListenerTest.java,testValidationListenerOnValidationSuccess,5,2,0,65,23,294.03152714370583,3.947986700889458
hollow,hollow/src/test/java/com/netflix/hollow/api/producer/validation/ObjectModificationValidatorTest.java,testValidate_validationFailure,1,1,0,107,46,591.0211292981004,4.969858168737785
