Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hollow,restoreFailsIfShardConfigurationChanges,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineMapTest.java,0,0,1
hollow,restoreFailsIfShardConfigurationChanges,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineListTest.java,0,0,1
hollow,restoreFailsIfShardConfigurationChanges,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineObjectTest.java,0,0,1
hollow,restoreFailsIfShardConfigurationChanges,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineSetTest.java,0,0,1
hollow,test,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineListTest.java,0,0,1
hollow,test,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineSetTest.java,0,0,1
hollow,testResize,hollow/src/test/java/com/netflix/hollow/core/memory/ByteArrayOrdinalTest.java,0,0,1
hollow,testResizeWhenEmpty,hollow/src/test/java/com/netflix/hollow/core/memory/ByteArrayOrdinalTest.java,0,0,1
hollow,throwsExceptionIfWriteStateIsPopulated,hollow/src/test/java/com/netflix/hollow/core/util/HollowWriteStateCreatorTest.java,0,0,1
hollow,repopulationFailsIfShardsAreIncorrectlyPreconfigured,hollow/src/test/java/com/netflix/hollow/core/util/HollowWriteStateCreatorTest.java,0,0,1
hollow,populatesOnlyPreviouslyExistingFieldsWhenSchemaIsAddedTo,hollow/src/test/java/com/netflix/hollow/core/util/HollowWriteStateCreatorTest.java,0,0,1
hollow,populatesPreviouslyExistingFieldsWhenSchemaFieldsAreRemoved,hollow/src/test/java/com/netflix/hollow/core/util/HollowWriteStateCreatorTest.java,0,0,1
hollow,testCompletelyMissingSet,hollow/src/test/java/com/netflix/hollow/core/read/missing/MissingSetTest.java,0,0,1
hollow,testCompletelyMissingList,hollow/src/test/java/com/netflix/hollow/core/read/missing/MissingListTest.java,0,0,1
hollow,handleSetIterator,hollow/src/test/java/com/netflix/hollow/core/read/missing/MissingSetTest.java,0,0,1
hollow,handleListIterator,hollow/src/test/java/com/netflix/hollow/core/read/missing/MissingListTest.java,0,0,1
hollow,testStaleReferenceException,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapDeltaTest.java,0,0,1
hollow,testStaleReferenceException,hollow/src/test/java/com/netflix/hollow/core/read/set/HollowSetTest.java,0,0,1
hollow,testStaleReferenceException,hollow/src/test/java/com/netflix/hollow/core/read/list/HollowListDeltaTest.java,0,0,1
hollow,testStaleReferenceException,hollow/src/test/java/com/netflix/hollow/core/read/object/HollowObjectDeltaTest.java,0,0,1
hollow,testEntryIterator,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapCollectionTest.java,0,0,1
hollow,testIterator,hollow/src/test/java/com/netflix/hollow/core/read/set/HollowSetCollectionTest.java,0,0,1
hollow,testIterator,hollow/src/test/java/com/netflix/hollow/core/read/list/HollowListCollectionTest.java,0,0,1
hollow,testEquals,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapCollectionTest.java,0,0,1
hollow,testEquals,hollow/src/test/java/com/netflix/hollow/core/read/set/HollowSetCollectionTest.java,0,0,1
hollow,testEquals,hollow/src/test/java/com/netflix/hollow/core/read/list/HollowListCollectionTest.java,0,0,1
hollow,assertMapEquals,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapCollectionTest.java,0,0,1
hollow,assertSetEquals,hollow/src/test/java/com/netflix/hollow/core/read/set/HollowSetCollectionTest.java,0,0,1
hollow,assertListEquals,hollow/src/test/java/com/netflix/hollow/core/read/list/HollowListCollectionTest.java,0,0,1
hollow,testSnapshot,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapLargeTest.java,0,0,1
hollow,testDelta,hollow/src/test/java/com/netflix/hollow/core/read/map/HollowMapLargeTest.java,0,0,1
hollow,test,hollow/src/test/java/com/netflix/hollow/core/read/list/HollowListDeltaTest.java,0,0,1
hollow,test,hollow/src/test/java/com/netflix/hollow/core/read/set/HollowSetDeltaTest.java,0,0,1
hollow,includeFilterSpecifiesTypesAndFields,hollow/src/test/java/com/netflix/hollow/core/read/filter/HollowFilterConfigTest.java,0,0,1
hollow,excludeFilterSpecifiesTypesAndFields,hollow/src/test/java/com/netflix/hollow/core/read/filter/HollowFilterConfigTest.java,0,0,1
hollow,serializesAndDeserializes,hollow/src/test/java/com/netflix/hollow/core/read/filter/HollowFilterConfigTest.java,0,0,1
hollow,parsesObjectSchema,hollow/src/test/java/com/netflix/hollow/core/schema/HollowSchemaParserTest.java,0,0,1
hollow,parsesObjectSchemaMultipleWithKey,hollow/src/test/java/com/netflix/hollow/core/schema/HollowSchemaParserTest.java,0,0,1
hollow,parsesObjectSchemaWithKey,hollow/src/test/java/com/netflix/hollow/core/schema/HollowSchemaParserTest.java,0,0,1
hollow,findsCommonSchemas,hollow/src/test/java/com/netflix/hollow/core/schema/HollowObjectSchemaTest.java,0,0,1
hollow,findsUnionSchemas,hollow/src/test/java/com/netflix/hollow/core/schema/HollowObjectSchemaTest.java,0,0,1
hollow,testIndexingStringTypeFieldsWithNullValues,hollow/src/test/java/com/netflix/hollow/core/index/HollowHashIndexTest.java,0,0,1
hollow,testIndexingStringTypeFieldsWithNullValuesInDifferentOrder,hollow/src/test/java/com/netflix/hollow/core/index/HollowHashIndexTest.java,0,0,1
hollow,assertIteratorContainsAll,hollow/src/test/java/com/netflix/hollow/core/index/HollowHashIndexTest.java,0,0,1
hollow,assertIteratorContainsAll,hollow/src/test/java/com/netflix/hollow/api/consumer/AbstractHollowHashIndexTests.java,0,0,1
hollow,deltaUpdates,hollow/src/test/java/com/netflix/hollow/api/consumer/AbstractHollowUniqueKeyIndexTests.java,0,0,1
hollow,testSimpleValue,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,0,0,1
hollow,testSimpleReference,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,0,0,1
hollow,testCompaction,hollow/src/test/java/com/netflix/hollow/core/index/SparseBitSetTest.java,0,0,1
hollow,testResize,hollow/src/test/java/com/netflix/hollow/core/index/SparseBitSetTest.java,0,0,1
hollow,testPopulateNoChangesVersion,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,0,0,1
hollow,testPublishV1,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,0,0,1
hollow,testPublishV2,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,0,0,1
hollow,testCycleCompleteWithSuccess,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,0,0,1
hollow,testCycleCompleteWithFail,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,0,0,1
hollow,testAnnouncementCompleteWithSuccess,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,0,0,1
hollow,testAnnouncementCompleteWithFail,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,0,0,1
hollow,updateAndPublishUsingMultithreading,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProduceIncrementalMultithreadingTest.java,0,0,1
hollow,removeAndPublishUsingMultithreading,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProduceIncrementalMultithreadingTest.java,0,0,1
hollow,testListenerVetoException,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,0,0,1
hollow,testVetoableListener,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,0,0,1
hollow,testCycleSkipWithSingleEnforcer,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,0,0,1
